2026-06-24 21:32:01 | INFO     | vector_embedding_service.__init__:46 | DashScope Embeddings 初始化完成 - 模型: text-embedding-v4, 维度: 1024, API Key: sk-819c4...be82
2026-06-24 21:32:01 | INFO     | milvus_client.connect:77 | 正在连接到 Milvus: localhost:19530
2026-06-24 21:32:01 | INFO     | milvus_client.connect:91 | 成功连接到 Milvus
2026-06-24 21:32:01 | INFO     | milvus_client.connect:95 | collection 'biz' 不存在，正在创建...
2026-06-24 21:32:02 | INFO     | milvus_client._create_index:208 | 成功为 vector 字段创建索引
2026-06-24 21:32:02 | INFO     | milvus_client.connect:97 | 成功创建 collection 'biz'
2026-06-24 21:32:02 | INFO     | milvus_client._load_collection:223 | 成功加载 collection 'biz'
2026-06-24 21:32:02 | INFO     | vector_store_manager._initialize_vector_store:54 | VectorStore 初始化成功: localhost:19530, collection: biz
2026-06-24 21:32:03 | INFO     | rag_agent_service.__init__:115 | RAG Agent 服务初始化完成 (ChatQwen), model=qwen-max, streaming=True
2026-06-24 21:32:04 | INFO     | document_splitter_service.__init__:39 | 文档分割服务初始化完成, chunk_size=800, secondary_chunk_size=1600, overlap=100
2026-06-24 21:32:04 | INFO     | vector_index_service.__init__:65 | 向量索引服务初始化完成
2026-06-24 21:32:04 | INFO     | aiops_service._build_graph:31 | 构建工作流图...
2026-06-24 21:32:04 | INFO     | aiops_service._build_graph:78 | 工作流图构建完成
2026-06-24 21:32:04 | INFO     | aiops_service.__init__:27 | Plan-Execute-Replan Service 初始化完成
2026-06-24 21:32:04 | INFO     | main.lifespan:23 | ============================================================
2026-06-24 21:32:04 | INFO     | main.lifespan:24 | 🚀 SuperBizAgent v1.0.0 启动中...
2026-06-24 21:32:04 | INFO     | main.lifespan:25 | 📝 环境: 开发
2026-06-24 21:32:04 | INFO     | main.lifespan:26 | 🌐 监听地址: http://0.0.0.0:9900
2026-06-24 21:32:04 | INFO     | main.lifespan:27 | 📚 API 文档: http://0.0.0.0:9900/docs
2026-06-24 21:32:04 | INFO     | main.lifespan:30 | 🔌 正在连接 Milvus...
2026-06-24 21:32:04 | INFO     | main.lifespan:32 | ✅ Milvus 连接成功
2026-06-24 21:32:04 | INFO     | main.lifespan:34 | ============================================================
2026-06-24 21:38:18 | INFO     | file.upload_file:68 | 文件上传成功: uploads\cpu_high_usage.md
2026-06-24 21:38:18 | INFO     | file.upload_file:72 | 开始为上传文件创建向量索引: uploads\cpu_high_usage.md
2026-06-24 21:38:18 | INFO     | vector_index_service.index_single_file:147 | 开始索引文件: D:\PythonProject\OnCall\super_biz_agent_py-release-2026-05-17\uploads\cpu_high_usage.md
2026-06-24 21:38:18 | INFO     | vector_index_service.index_single_file:152 | 读取文件: D:\PythonProject\OnCall\super_biz_agent_py-release-2026-05-17\uploads\cpu_high_usage.md, 内容长度: 1891 字符
2026-06-24 21:38:18 | INFO     | vector_store_manager.delete_by_source:116 | 删除文件旧数据: D:/PythonProject/OnCall/super_biz_agent_py-release-2026-05-17/uploads/cpu_high_usage.md, 删除数量: 0
2026-06-24 21:38:18 | INFO     | document_splitter_service.split_markdown:76 | Markdown 分割完成: D:/PythonProject/OnCall/super_biz_agent_py-release-2026-05-17/uploads/cpu_high_usage.md -> 3 个分片
2026-06-24 21:38:18 | INFO     | vector_index_service.index_single_file:160 | 文档分割完成: uploads\cpu_high_usage.md -> 3 个分片
2026-06-24 21:38:18 | INFO     | vector_embedding_service.embed_documents:72 | 批量嵌入 3 个文档
2026-06-24 21:38:19 | INFO     | vector_store_manager.add_documents:86 | 批量添加 3 个文档到 VectorStore 完成, 耗时: 0.54秒, 平均: 0.18秒/个
2026-06-24 21:38:19 | INFO     | vector_index_service.index_single_file:165 | 文件索引完成: uploads\cpu_high_usage.md, 共 3 个分片
2026-06-24 21:38:19 | INFO     | file.upload_file:74 | 向量索引创建成功: uploads\cpu_high_usage.md
